Symbol,Name,Exchange,Last,Industry,SIC Description,Time,20D MA,50D MA,50D Avg Vol,52W %/High,20D Avg Vol,Prev Vol
SRE,Sempra,NYSE,165.03,Utility - Gas Distribution,SIC-4932 Gas & Other Services Combined,4/5/2022,160.07,147.58,1864594,-3.26%,1999960,1580500
STE,Steris Corp,NYSE,245.7,Medical Instruments,"SIC-3842 Orthopedic, Prosthetic & Surgical Appliances",4/5/2022,234.56,231.88,497556,-1.51%,473875,470700
SU,Suncor Energy Inc,NYSE,32.99,Oil - C$ Integrated,SIC-2911 Petroleum Refining,4/5/2022,32.12,30.62,8797536,-3.55%,7604640,6161800
SWCH,Switch Inc,NYSE,31.26,Technology Services,"SIC-7370 Services-Computer Programming, Data Processi",4/5/2022,29.22,27.09,1605680,-1.70%,1687210,1367800
SYK,Stryker Corp,NYSE,268.5,Medical Products,SIC-3841 Surgical & Medical Instruments & Apparatus,4/5/2022,261.95,257.53,1490382,-4.50%,1415765,1264600
TDW,Tidewater Inc,NYSE,21.75,Oil - US Integrated,SIC-4400 Water Transportation,4/5/2022,20.95,17.3,389580,-4.77%,407070,239900
TGNA,Tegna Inc,NYSE,22.48,Broadcast - Radio & TV,SIC-4833 Television Broadcasting Stations,4/5/2022,22.37,21.66,3555192,-2.43%,2780880,1306200
TIMB,Tim S.A. ADR,NYSE,15.05,Wireless Non-US,SIC-4813 Telephone Communications (No Radiotelephone),4/5/2022,13.8,13.18,716938,-3.59%,770575,354500
TRGP,Targa Resources,NYSE,75.71,Oil Refining & Marketing MLP,SIC-4922 Natural Gas Transmission,4/5/2022,71.72,66.21,1745946,-3.12%,1751250,1338500
TRP,Tc Energy Corp,NYSE,57.85,Other Alt Energy,SIC-4922 Natural Gas Transmission,4/5/2022,56.11,53.9,1945482,-1.75%,1955685,1743300
TRQ,Turquoise Hill Resources Ltd,NYSE,30.2,Mining - Misc,SIC-1000 Metal Mining,4/5/2022,27.79,22.88,1366556,-2.11%,1839155,527500
TRV,The Travelers Companies Inc,NYSE,181.39,Insurance - Proprty & Casualty,"SIC-6331 Fire, Marine & Casualty Insurance",4/5/2022,181.06,174.75,1509968,-3.51%,1399590,1026100
TS,Tenaris S.A. ADR,NYSE,29.93,Steel - Pipe & Tube,"SIC-3312 Steel Works, Blast Furnaces & Rolling Mills",4/5/2022,29.3,27.21,3214432,-4.94%,2798245,2224200
