Symbol,Name,Exchange,Last,Industry,SIC Description,Time,Previous,5D MA,20D MA,5D Avg Vol,20D Avg Vol,Volume,Prev Vol
OMAB,Grupo Aeroportuario ADR,NASDAQ,62.49,Transportation - Services,"SIC-4581 Airports, Flying Fields & Airport Terminal S",4/5/2022,61.71,60.72,57.12,98060,53185,161300,86700
OMEX,Odyssey Marine Expl,NASDAQ,7.12,Transportation - Ship,SIC-4400 Water Transportation,4/5/2022,6.85,6.73,6.26,80260,40650,277500,29400
ONCR,Oncorus Inc,NASDAQ,1.86,Medical - Biomedical,SIC-2834 Pharmaceutical Preparations,4/5/2022,1.78,1.798,1.7375,154520,144445,144000,136500
ORCC,Owl Rock Capital Corp,NYSE,14.77,Finance - Misc Services,N/A,4/5/2022,14.65,14.78,14.69,2944840,2610645,2784200,2664400
ORGS,Orgenesis Inc,NASDAQ,3.69,Medical - Biomedical,SIC-2834 Pharmaceutical Preparations,4/5/2022,3.35,3.45,3.26,129140,49575,144400,82300
OUST,Ouster Inc,NYSE,4.9,Electronics - Misc Components,"SIC-3569 General Industrial Machinery & Equipment, NE",4/5/2022,4.85,4.67,3.96,2778140,2349995,3227400,2058200
PAM,Pampa Energia S.A. ADR,NYSE,23.97,Utility - Electric Power,SIC-4911 Electric Services,4/5/2022,23.95,23.71,22.67,166100,147255,195300,168900
PBYI,Puma Biotechnology,NASDAQ,3.3,Medical - Biomedical,SIC-2834 Pharmaceutical Preparations,4/5/2022,3.18,3.04,2.94,554440,474410,447700,358600
PEN,Penumbra Inc,NYSE,222.48,Medical Instruments,SIC-3841 Surgical & Medical Instruments & Apparatus,4/5/2022,220.94,221.95,208.65,258260,218145,332700,220900
PFDR,Pathfinder Acquisition Corp Cl A,NASDAQ,9.8,Unclassified,SIC-7372 Services-Prepackaged Software,4/5/2022,9.79,9.79,9.77,69920,52700,25300,18700
PHX,Phx Minerals Inc,NYSE,3.05,Oil - US Integrated,SIC-1311 Crude Petroleum & Natural Gas,4/5/2022,2.97,3.02,2.84,242400,223885,252500,191800
PINC,Premier Inc Cl A,NASDAQ,35.48,Medical Services,SIC-8741 Services-Management Services,4/5/2022,35.29,35.9,35.75,632460,626275,703200,405900
PL,Planet Labs Pbc,NYSE,5.8,Internet - Software,SIC-3663 Radio & Tv Broadcasting & Communications Equ,4/5/2022,5.79,5.57,5.24,2745000,2567255,2484800,2475000
PLD,Prologis Inc,NYSE,166.28,REIT - Equity Trust Other,SIC-6798 Real Estate Investment Trusts,4/5/2022,163.78,164.3,157.82,2981340,2843375,3288900,2448100
POLY,Plantronics,NYSE,39.83,Communications Components,SIC-3661 Telephone & Telegraph Apparatus,4/5/2022,39.6,39.57,31.22,3386740,2768810,3680500,3207600
PSPC,Post Holdings Partnering Corp Series A,NYSE,9.71,Unclassified,SIC-6770 Blank Checks,4/5/2022,9.7,9.74,9.71,87340,25750,184100,600
PTIC,Proptech Investment Corp II Cl A,NASDAQ,9.83,Unclassified,SIC-6770 Blank Checks,4/5/2022,9.8,9.82,9.8,198500,67210,16900,400
QCRH,Qcr Holdings Inc,NASDAQ,57.04,Banks - Midwest,SIC-6022 State Commercial Banks,4/5/2022,57,56.87,56.33,162720,86230,109500,93100
RARE,Ultragenyx Pharmaceu,NASDAQ,80.7,Medical - Biomedical,SIC-2834 Pharmaceutical Preparations,4/5/2022,78.15,76.04,69.94,519560,414770,622100,529100
RCON,Recon Technology Ltd,NASDAQ,1.19,Oil Field Machinery & Equip,"SIC-1389 Oil & Gas Field Services, NEC",4/5/2022,1.07,1.094,1.0802,8850360,3027715,33240801,7534100
RDY,Dr. Reddy's Laboratories Ltd ADR,NYSE,56.67,Medical - Generic Drugs,SIC-2834 Pharmaceutical Preparations,4/5/2022,56.45,56.26,53.96,426220,262755,270800,235300
RJF,Raymond James Financial,NYSE,108.72,Finance - Investment Brokers,"SIC-6211 Security Brokers, Dealers & Flotation Compan",4/5/2022,107.86,109.48,105.38,1292280,1114445,1596500,950000
ROCL,Roth Ch Acquisition V Co.,NASDAQ,9.87,Unclassified,N/A,4/5/2022,9.86,9.88,9.87,101200,36955,503000,600
ROSE,Rose Hill Acquisition Corp Cl A,NASDAQ,10.03,Unclassified,N/A,4/4/2022,10.01,10.01,9.99,100820,76580,371700,103500
SAVE,Spirit Airlines Inc,NYSE,26.92,Transportation - Airline,"SIC-4512 Air Transportation, Scheduled",4/5/2022,21.99,22.96,21.76,5230160,4926275,13226500,2439500
SBFM,Sunshine Biopharma,NASDAQ,5.61,Medical - Biomedical,SIC-8731 Services-Commercial Physical & Biological Re,4/5/2022,2.26,3,2.99,31158338,11988000,155062891,133500
SCI,Service Corp International,NYSE,66.52,Funeral Services & Related,SIC-7200 Services-Personal Services,4/5/2022,65.55,66.19,64.12,1004900,936330,897400,817700
SCKT,Socket Mobile,NASDAQ,4.02,Computers - Peripheral Equpt,SIC-3571 Electronic Computers,4/5/2022,3.99,4.02,3.83,38560,27115,26900,14600
SGLY,Singularity Future Technology Ltd,NASDAQ,17,Technology Services,SIC-4731 Arrangement of Transportation of Freight & C,4/5/2022,14.97,14.26,10.59,1413780,1089895,1826100,1595500
SHEN,Shenandoah Telecom,NASDAQ,24.08,Diversified Comm Services,SIC-4813 Telephone Communications (No Radiotelephone),4/5/2022,23.93,23.84,22.38,295500,283300,330400,261000
SLHG,Skylight Health Group Inc,NASDAQ,1.22,Medical Services,SIC-8011 Services-Offices & Clinics of Doctors of Med,4/5/2022,1.19,1.144,1.1114,187860,111550,297000,57400
SNPX,Synaptogenix Inc,NASDAQ,7.41,Medical - Biomedical,SIC-2834 Pharmaceutical Preparations,4/5/2022,7.3,7.47,6.89,46320,45205,89200,10100
SNY,Sanofi-Aventis S.A. ADR,NASDAQ,52.9,Large Cap Pharma,SIC-2834 Pharmaceutical Preparations,4/5/2022,52.55,52.12,51.68,1974060,1820965,2511000,1772900
SO,Southern Company,NYSE,74.35,Utility - Electric Power,SIC-4911 Electric Services,4/5/2022,73.12,73.32,70.15,5414080,5062515,6729800,4660900
SST,System1 Inc,NYSE,20.31,Advertising Marketing Services,"SIC-7370 Services-Computer Programming, Data Processi",4/5/2022,16.51,16.34,15.71,7375640,2483950,32507300,2010700
STRC,Sarcos Technologies and Robotics Corp,NASDAQ,7.04,Industrial Services,"SIC-3569 General Industrial Machinery & Equipment, NE",4/5/2022,6.97,6.75,6.3,180720,170735,144900,129300
SUI,Sun Communities,NYSE,179.41,REIT - Equity Trust Resident,SIC-6798 Real Estate Investment Trusts,4/5/2022,178.59,178.51,176.8,729720,696675,928300,550400
