Symbol,Name,Exchange,Last,Industry,"SIC Description",Time,Trend,"20D Avg Vol","52W %/High","20D MA","50D MA","100D MA","Market Cap"
PLMI,"Plum Acquisition Corp I Cl A",NASDAQ,9.8,Unclassified,"SIC-6770 Blank Checks",2022-04-29,Buy,108130,-4.85%,9.79,9.75,9.74,391040000
PLUS,"Eplus Inc",NASDAQ,56.185,"Business Software Services","SIC-5045 Wholesale-Computers & Peripheral Equipment &","10:06 ET",Buy,137844,-19.07%,56.2,53.6,51.69,1518577000
PNTM,"Pontem Corp Cl A",NYSE,9.85,Unclassified,"SIC-6770 Blank Checks","09:52 ET",Buy,139308,-0.51%,9.84,9.8,9.78,848700000
POLY,Plantronics,NYSE,39.53,"Communications Components","SIC-3661 Telephone & Telegraph Apparatus","10:22 ET",Buy,1758479,-8.85%,39.96,33.38,30.95,1705171000
PRPB,"CC Neuberger Principal Holdings II Cl A",NYSE,9.94,Unclassified,"SIC-6770 Blank Checks","10:25 ET",Buy,416142,-1.29%,9.93,9.92,9.9,823032000
PRSR,"Prospector Capital Corp Cl A",NASDAQ,9.85,Unclassified,"SIC-6770 Blank Checks","10:17 ET",Buy,80095,-0.30%,9.84,9.8,9.77,369000000
PSAG,"Property Solutions Acquisition Corp II Cl A",NASDAQ,9.78,Unclassified,"SIC-6770 Blank Checks",2022-04-29,Buy,34155,-1.71%,9.78,9.75,9.73,318388000
PSX,"Phillips 66",NYSE,88.59,"Oil - Refining and Marketing",,"10:24 ET",Buy,3916028,-6.89%,84.95,83.28,82.21,41739024000
RENN,"Renren Inc ADR",NYSE,27.26,"Internet Services - Delivery","SIC-5500 Retail-Auto Dealers & Gasoline Stations","10:24 ET",Buy,100559,-4.16%,25.44,23.32,20.77,682872000
REVH,"Revolution Healthcare Acquisition Corp Cl A",NASDAQ,9.81,Unclassified,"SIC-6770 Blank Checks","09:51 ET",Buy,143281,-8.32%,9.8,9.77,9.75,539550000
RHP,"Ryman Hospitality Properties REIT",NYSE,94.12,"REIT - Equity Trust Other","SIC-6798 Real Estate Investment Trusts","10:31 ET",Buy,377614,-7.50%,93.64,91.38,89.44,5155047000
RLI,"Rli Corp",NYSE,116.24,"Insurance - Proprty & Casualty","SIC-6331 Fire, Marine & Casualty Insurance","10:22 ET",Buy,152152,-3.52%,112.3,108.4,107.77,5201371000
RMGC,"Rmg Acquisition Corp III Cl A",NASDAQ,9.84,Unclassified,"SIC-6770 Blank Checks","09:59 ET",Buy,56262,-2.58%,9.82,9.78,9.77,593437000
RPRX,"Royalty Pharma Plc Cl A",NASDAQ,42.91,"Finance - Misc Services","SIC-2834 Pharmaceutical Preparations","10:34 ET",Buy,2756314,-9.26%,42.34,40.1,39.83,25853558000
RS,"Reliance Steel & Aluminum Company",NYSE,198.01,"Metal Products - Distribution","SIC-5051 Wholesale-Metals Service Centers & offices","10:33 ET",Buy,382342,-4.32%,189.72,188.1,173.96,12421352000
RWAY,"Runway Growth Finance Corp",NASDAQ,14.24,"Finance - SBIC & Commercial","SIC-6770 Blank Checks","10:19 ET",Buy,49991,-4.49%,14.22,13.71,13.42,594084000
SAIL,"Sailpoint Technologies Holdings Inc",NYSE,63.74,"Technology Services",,"10:23 ET",Buy,8130689,-1.02%,60.76,51.51,47.29,6012276000
SBR,"Sabine Royalty Trust",NYSE,62.64,"Oil - US Royalty Trusts","SIC-6792 Oil Royalty Traders","10:30 ET",Buy,66603,-7.01%,62.9,59.33,52.82,922477000
SCOB,"Scion Tech Growth II Cl A",NASDAQ,9.83,Unclassified,"SIC-6770 Blank Checks",2022-04-29,Buy,196635,-1.60%,9.82,9.78,9.76,423870000
SCSC,"Scansource Inc",NASDAQ,34.21,"Industrial Services","SIC-5045 Wholesale-Computers & Peripheral Equipment &","10:22 ET",Buy,96680,-16.57%,33.75,33.58,33.36,876681000
SD,"Sandridge Energy Inc",NYSE,18.35,"Oil - US Integrated","SIC-1311 Crude Petroleum & Natural Gas","10:21 ET",Buy,787466,-10.73%,17.97,16.04,13.53,681463000
SDAC,"Sustainable Development Acquisition I Corp Cl A",NASDAQ,9.8,Unclassified,"SIC-6770 Blank Checks",2022-04-29,Buy,93485,-2.00%,9.8,9.77,9.76,387404000
SEAS,"Seaworld Entertainment Inc Company",NYSE,68.13,"Leisure & Recreation Services","SIC-7990 Services-Miscellaneous Amusement & Recreatio","10:32 ET",Buy,1196957,-11.08%,69.48,68.71,66.2,5101769000
