Symbol,Name,Exchange,Last,Industry,"SIC Description",Time
CB,"Chubb Ltd",NYSE,205.52,"Insurance - Proprty & Casualty","SIC-6331 Fire, Marine & Casualty Insurance","12:32 ET"
WINA,"Winmark Corp",NASDAQ,205.43,"Retail - Misc & Diversified","SIC-5900 Retail-Miscellaneous Retail","12:15 ET"
EFX,"Equifax Inc",NYSE,204.24,"Financial Transaction Services","SIC-7320 Services-Consumer Credit Reporting, Collecti","12:33 ET"
TSCO,"Tractor Supply Company",NASDAQ,204.03,"Retail - Misc & Diversified","SIC-5200 Retail-Building Materials, Hardware, Garden","12:33 ET"
CRWD,"Crowdstrike Holdings Inc",NASDAQ,203.23,"Internet - Software","SIC-7372 Services-Prepackaged Software","12:33 ET"
VRSK,"Verisk Analytics Inc",NASDAQ,202.48,"Business Information","SIC-7374 Services-Computer Processing & Data Preparat","12:32 ET"
LOW,"Lowe's Companies",NYSE,201.32,"Building Prds Retail - Wsale","SIC-5211 Retail-Lumber & Other Building Materials Dea","12:33 ET"
CASY,"Casey's General Stor",NASDAQ,200.07,"Retail - Convenience Stores","SIC-5500 Retail-Auto Dealers & Gasoline Stations","12:32 ET"
NWLI,"Natl Wstrn Life Gp A",NASDAQ,199.72,"Insurance - Life","SIC-6311 Life Insurance","11:31 ET"
RMD,"Resmed Inc",NYSE,199.45,"Medical Products","SIC-3841 Surgical & Medical Instruments & Apparatus","12:33 ET"
AAP,"Advance Auto Parts Inc",NYSE,199.39,"Retail - Wholesale Auto Parts","SIC-5531 Retail-Auto & Home Supply Stores","12:32 ET"
ITW,"Illinois Tool Works Inc",NYSE,198.59,"Machinery - General Industrial","SIC-3560 General Industrial Machinery & Equipment","12:32 ET"
FDX,"Fedex Corp",NYSE,198.13,"Transportation - Air Freight","SIC-4513 Air Courier Services","12:32 ET"
NFLX,"Netflix Inc",NASDAQ,198.05,"Broadcast - Radio & TV","SIC-7841 Services-Video Tape Rental","12:33 ET"
HON,"Honeywell International Inc",NASDAQ,197.42,"Conglomerates - Div Operations","SIC-3724 Aircraft Engines & Engine Parts","12:33 ET"
RS,"Reliance Steel & Aluminum Company",NYSE,196.75,"Metal Products - Distribution","SIC-5051 Wholesale-Metals Service Centers & offices","12:32 ET"
DEO,"Diageo Plc ADR",NYSE,195.68,"Beverages - Alcohol","SIC-2080 Beverages","12:27 ET"
WRLD,"World Acceptance Cp",NASDAQ,195.49,"Finance - Consumer Loans","SIC-6141 Personal Credit Institutions","12:20 ET"
CMI,"Cummins Inc",NYSE,194.47,"Engines - Internal Combustion","SIC-3510 Engines & Turbines","12:32 ET"
HUBB,"Hubbell Inc B",NYSE,194.12,"Machinery - Elect Utilities","SIC-3670 Electronic Components & Accessories","12:32 ET"
PCTY,"Paylocity Holdings Corp",NASDAQ,192.98,"Internet - Software","SIC-7372 Services-Prepackaged Software","12:32 ET"
ADSK,"Autodesk Inc",NASDAQ,191.89,"Computer - Software","SIC-7372 Services-Prepackaged Software","12:33 ET"
NVDA,"Nvidia Corp",NASDAQ,191.63,"Semi General","SIC-3674 Semiconductors & Related Devices","12:33 ET"
ALB,"Albemarle Corp",NYSE,191.56,"Chemical - Diversified","SIC-2821 Plastic Materials, Synth Resins & Nonvulcan","12:32 ET"
ITIC,"Investors Title Company",NASDAQ,191.46,"Insurance - Proprty & Casualty","SIC-6361 Title Insurance","11:44 ET"
IEX,"Idex Corp",NYSE,190.01,"Machinery - General Industrial","SIC-3561 Pumps & Pumping Equipment","12:33 ET"
LPLA,"Lpl Financial Holdings",NASDAQ,189.72,"Finance - Investment Brokers","SIC-6200 Security & Commodity Brokers, Dealers, Excha","12:32 ET"
JKHY,"Jack Henry & Assoc",NASDAQ,189.02,"Electronic Misc Services","SIC-7373 Services-Computer Integrated Systems Design","12:33 ET"
SAFM,"Sanderson Farms IN",NASDAQ,188.91,"Food - Meat Products","SIC-2015 Poultry Slaughtering and Processing","12:31 ET"
ANAT,"Amer Natl Insurance",NASDAQ,188.86,"Insurance - Multi Line","SIC-6311 Life Insurance","12:29 ET"
MAA,"Mid-America Apartment Communities",NYSE,188.67,"REIT - Equity Trust Resident","SIC-6798 Real Estate Investment Trusts","12:33 ET"
PSB,"Business Parks",NYSE,186.88,"REIT - Equity Trust Other","SIC-6798 Real Estate Investment Trusts","12:31 ET"
KAI,"Kadant Inc",NYSE,186.68,"Machinery - General Industrial","SIC-3550 Special Industry Machinery (No Metalworking","12:28 ET"
VEEV,"Veeva Systems Inc",NYSE,186.39,"Internet - Software","SIC-7372 Services-Prepackaged Software","12:32 ET"
WHR,"Whirlpool Corp",NYSE,183.86,"Appliances - Household","SIC-3630 Household Appliances","12:32 ET"
ABG,"Asbury Automotive Group Inc",NYSE,183.76,"Retail - Wsale Auto & Trucks","SIC-5500 Retail-Auto Dealers & Gasoline Stations","12:32 ET"
